name,word-precision,word-recall, word-fval,phrase-precision,phrase-recall, phrase-fval
193.abstr,0.26,0.5,0.34,0.05,0.17,0.08
1930.abstr,0.43,0.75,0.55,0.15,0.38,0.21
1931.abstr,0.31,0.67,0.42,0.06,0.2,0.09
1932.abstr,0.45,0.6,0.51,0.21,0.38,0.27
1933.abstr,0.57,0.73,0.64,0.1,0.2,0.13
1934.abstr,0.52,0.87,0.65,0.21,0.5,0.3
1935.abstr,0.5,0.83,0.63,0.19,0.5,0.27
1936.abstr,0.25,0.6,0.35,0.11,0.29,0.15
1937.abstr,0.64,0.88,0.74,0.13,0.33,0.18
1938.abstr,0.46,0.75,0.57,0.13,0.33,0.18
1939.abstr,0.52,0.75,0.62,0.05,0.14,0.08
194.abstr,0.26,0.44,0.33,0.0,0.0,0.0
1940.abstr,0.56,0.63,0.59,0.17,0.2,0.18
1941.abstr,0.45,0.82,0.58,0.18,0.5,0.26
1942.abstr,0.5,0.51,0.51,0.05,0.06,0.05
1943.abstr,0.38,0.61,0.47,0.1,0.2,0.13
1944.abstr,0.53,0.66,0.58,0.2,0.25,0.22
1945.abstr,0.32,0.53,0.4,0.0,0.0,0.0
1946.abstr,0.49,0.57,0.52,0.11,0.13,0.12
1947.abstr,0.41,0.53,0.46,0.16,0.3,0.21
1948.abstr,0.61,0.88,0.72,0.23,0.5,0.32
1949.abstr,0.68,0.37,0.48,0.47,0.3,0.37
195.abstr,0.61,0.79,0.69,0.08,0.13,0.1
1950.abstr,0.56,0.71,0.63,0.21,0.44,0.29
1951.abstr,0.48,0.57,0.52,0.28,0.42,0.33
1952.abstr,0.39,0.65,0.49,0.1,0.25,0.14
1953.abstr,0.58,0.7,0.64,0.12,0.2,0.15
1954.abstr,0.52,0.68,0.59,0.15,0.27,0.19
1955.abstr,0.2,0.31,0.24,0.05,0.14,0.07
1956.abstr,0.63,0.8,0.71,0.4,0.67,0.5
1957.abstr,0.38,0.45,0.41,0.2,0.31,0.24
1958.abstr,0.5,0.73,0.59,0.29,0.5,0.36
1959.abstr,0.45,0.56,0.5,0.0,0.0,0.0
196.abstr,0.2,0.46,0.28,0.05,0.13,0.07
1960.abstr,0.42,0.38,0.4,0.24,0.31,0.27
1961.abstr,0.42,0.5,0.46,0.11,0.18,0.14
1962.abstr,0.47,0.57,0.52,0.1,0.17,0.13
1963.abstr,0.38,0.59,0.47,0.05,0.11,0.07
1964.abstr,0.63,0.63,0.63,0.43,0.46,0.44
1965.abstr,0.48,0.79,0.6,0.1,0.22,0.14
1966.abstr,0.5,0.53,0.52,0.15,0.19,0.17
1967.abstr,0.55,0.64,0.59,0.06,0.08,0.06
1968.abstr,0.4,0.67,0.5,0.1,0.25,0.14
1969.abstr,0.31,0.52,0.39,0.05,0.09,0.06
197.abstr,0.36,0.71,0.48,0.1,0.33,0.15
1970.abstr,0.09,0.23,0.13,0.0,0.0,0.0
1971.abstr,0.4,0.63,0.49,0.05,0.14,0.08
1972.abstr,0.41,0.54,0.47,0.1,0.14,0.12
1973.abstr,0.39,0.6,0.47,0.06,0.13,0.08
1974.abstr,0.42,0.52,0.46,0.11,0.17,0.13
1975.abstr,0.59,0.54,0.57,0.16,0.25,0.19
1976.abstr,0.59,0.8,0.68,0.2,0.36,0.26
1977.abstr,0.63,0.65,0.64,0.26,0.36,0.3
1978.abstr,0.42,0.52,0.47,0.1,0.17,0.13
1979.abstr,0.62,0.46,0.53,0.22,0.17,0.2
198.abstr,0.29,0.53,0.37,0.12,0.29,0.17
1980.abstr,0.52,0.33,0.4,0.16,0.14,0.15
1981.abstr,0.35,0.79,0.49,0.05,0.2,0.08
1982.abstr,0.69,0.69,0.69,0.1,0.17,0.13
1983.abstr,0.25,0.5,0.33,0.07,0.2,0.1
1984.abstr,0.48,0.59,0.53,0.15,0.18,0.17
1985.abstr,0.41,0.87,0.55,0.05,0.17,0.08
1986.abstr,0.63,0.75,0.68,0.28,0.5,0.36
1987.abstr,0.11,0.5,0.18,0.06,0.25,0.09
1988.abstr,0.08,0.4,0.13,0.0,0.0,0.0
1989.abstr,0.18,0.71,0.29,0.05,0.33,0.09
199.abstr,0.29,0.39,0.33,0.11,0.25,0.15
1990.abstr,0.5,0.43,0.46,0.11,0.17,0.13
1991.abstr,0.61,0.71,0.65,0.32,0.38,0.34
1992.abstr,0.63,0.5,0.56,0.25,0.21,0.23
1993.abstr,0.36,0.71,0.48,0.05,0.14,0.07
1994.abstr,0.43,0.52,0.47,0.16,0.2,0.18
1995.abstr,0.46,0.54,0.5,0.2,0.29,0.24
1996.abstr,0.6,0.6,0.6,0.26,0.33,0.29
1997.abstr,0.44,0.39,0.41,0.38,0.33,0.35
1998.abstr,0.63,0.8,0.71,0.13,0.25,0.17
1999.abstr,0.58,0.47,0.52,0.15,0.19,0.17
2.abstr,0.09,0.22,0.13,0.0,0.0,0.0
20.abstr,0.5,0.81,0.62,0.1,0.2,0.13
200.abstr,0.29,0.73,0.41,0.1,0.33,0.15
2000.abstr,0.52,0.73,0.6,0.1,0.18,0.13
2001.abstr,0.44,0.71,0.55,0.26,0.56,0.36
