which|WDT|BODY_11:BODY_15:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_10:BODY_7:BODY_8:BODY_9|1
we|PRP|BODY_6:BODY_11:BODY_5:BODY_15:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|1
the number|DT NN|BODY_12:BODY_11:ABSTRACT_2:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8|1
x|SYM|BODY_12:BODY_11:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9|0
it|PRP|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_8|0
the parameters|DT NNS|BODY_6:BODY_11:BODY_5:ABSTRACT_6:BODY_13:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8|0
s|VBZ|BODY_6:BODY_12:BODY_11:BODY_5:BODY_15:BODY_13:BODY_2:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|0
a k|DT NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|0
this|DT|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4|0
icm|JJ|BODY_6:BODY_5:BODY_1:BODY_3:BODY_4:BODY_9|0
a function|DT NN|BODY_6:BODY_5:BODY_13:BODY_2:BODY_3:BODY_4:BODY_8|0
y|RB|BODY_6:BODY_11:BODY_5:BODY_16:BODY_13:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
textures|NNS|BODY_6:BODY_13:BODY_2:BODY_1:ABSTRACT_3:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|1
blocks|NNS|BODY_12:BODY_6:BODY_5:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8|0
the image|DT NN|BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_3:BODY_7:BODY_9|0
sa|NN|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4:BODY_8|0
each block|DT NN|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4|0
each|DT|BODY_2:BODY_1:BODY_14:BODY_3:BODY_10:BODY_4:BODY_7|0
m|NN|BODY_6:BODY_2:BODY_14:BODY_3:BODY_4:BODY_7|0
the algorithm|DT NN|BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_8|0
clusters|NNS|BODY_5:BODY_2:ABSTRACT_3:BODY_3:ABSTRACT_1:BODY_7:BODY_9|0
there|EX|BODY_6:BODY_5:BODY_1:BODY_3:BODY_7:BODY_8|0
that|IN|BODY_11:BODY_5:BODY_13:BODY_2:BODY_3:BODY_7|0
points|NNS|BODY_6:BODY_11:BODY_5:BODY_1:BODY_3:BODY_4:BODY_10|0
the set|DT NN|BODY_5:BODY_2:BODY_1:BODY_3:BODY_8|0
ae|NNS|BODY_6:BODY_11:BODY_5:BODY_17:BODY_2:BODY_3:BODY_7|0
segmentation|NN|BODY_6:BODY_5:BODY_2:BODY_1:ABSTRACT_1|0
regions|NNS|BODY_6:BODY_5:BODY_2:ABSTRACT_3:BODY_4:BODY_7|0
this paper|DT NN|BODY_2:BODY_3|0
pixels|NNS|BODY_13:BODY_3:BODY_4:BODY_7:BODY_8|0
c(k|NN|BODY_6:BODY_2:BODY_1:BODY_3:BODY_4:BODY_10:BODY_7|0
the energy function|DT NN NN|BODY_2:BODY_1:BODY_3:BODY_7|0
resolution|NN|BODY_5:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8|0
the segmentation|DT NN|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4:BODY_8|0
the mrs algorithm|DT NNS NN|BODY_5:BODY_1:BODY_2|0
c|NN|BODY_6:BODY_5:BODY_16:BODY_2:BODY_3:BODY_10:BODY_7|0
the problem|DT NN|BODY_6:BODY_5:BODY_1:BODY_3:BODY_4:BODY_10|0
t|NN|BODY_6:BODY_5:BODY_1:BODY_3:BODY_4|0
boundaries|NNS|BODY_5:BODY_2:BODY_7:BODY_8|0
the value|DT NN|BODY_2:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8|0
the distribution|DT NN|BODY_5:BODY_1:BODY_3:BODY_8:BODY_9|0
a|DT|BODY_6:BODY_5:BODY_2:BODY_1:BODY_10:BODY_4|0
a gibbs distribution|DT JJ NN|BODY_5:BODY_2:BODY_3:BODY_10:BODY_8|0
the solution|DT NN|BODY_1:BODY_2:BODY_4:BODY_7|0
the conditional distribution|DT JJ NN|BODY_5:BODY_2:BODY_3:BODY_7:BODY_9|0
( 23 )|-LRB- CD -RRB-|BODY_6:BODY_5:BODY_17:BODY_2:BODY_4:BODY_8|0
the ml estimate|DT JJ NN|BODY_1:BODY_2:BODY_3:BODY_7|0
mrs|NNS|BODY_5:BODY_2:BODY_4:BODY_7|0
the performance|DT NN|BODY_1:BODY_3:BODY_4:BODY_7|0
an mrf|DT NN|BODY_1:BODY_4:BODY_8:BODY_9|0
the gibbs distribution|DT NNS NN|BODY_2:BODY_1:BODY_3:BODY_4|0
the components|DT NNS|BODY_5:BODY_1:BODY_2:BODY_4:BODY_7|0
l|NN|BODY_6:BODY_5:BODY_2:BODY_4:BODY_7|0
the computation|DT NN|BODY_6:BODY_5:BODY_2:BODY_1|0
coarse resolution|JJ NN|BODY_6:ABSTRACT_2:BODY_25:BODY_3:BODY_4:BODY_7|0
these parameters|DT NNS|BODY_11:BODY_1:BODY_2:BODY_3|0
the data|DT NNS|BODY_5:ABSTRACT_4:BODY_2|0
the classification|DT NN|BODY_6:BODY_5:ABSTRACT_5:ABSTRACT_2:BODY_3|0
)|-RRB-|BODY_6:BODY_11:BODY_5:BODY_2:BODY_7:BODY_8|0
a point|DT NN|BODY_5:BODY_2:BODY_3:BODY_4:BODY_10|0
the result|DT NN|BODY_6:BODY_2:BODY_4:BODY_7|0
an image|DT NN|BODY_6:BODY_5:ABSTRACT_5:BODY_4|0
one|PRP|BODY_5:BODY_7:BODY_20|0
the clusters|DT NNS|BODY_3:BODY_4:BODY_7|0
each pixel|DT NN|BODY_6:ABSTRACT_3:BODY_4|0
