which|WDT|BODY_6:BODY_5:ABSTRACT_4:BODY_13:BODY_2:BODY_3:BODY_10:BODY_4:ABSTRACT_7:BODY_7:BODY_9|0
it|PRP|BODY_5:BODY_23:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_7:BODY_8:BODY_9|0
we|PRP|BODY_5:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_7|0
n|NN|BODY_6:BODY_5:BODY_13:BODY_2:BODY_3:BODY_14:BODY_4:BODY_7:BODY_8:BODY_9|0
the k stage|DT NN NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7|0
a k stage|DT NN NN|BODY_6:BODY_11:BODY_2:BODY_1:BODY_4:BODY_10:BODY_7:BODY_9|0
the number|DT NN|BODY_6:BODY_5:BODY_11:BODY_16:BODY_2:BODY_1:ABSTRACT_3:BODY_14:BODY_3:BODY_4:BODY_7|0
fig|NN|BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|0
a bitonic sequence|DT JJ NN|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_10:BODY_4:BODY_8|0
d|NN|BODY_11:BODY_15:BODY_2:BODY_1:BODY_3:BODY_4:BODY_8:BODY_9|0
s|PRP|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_9|0
the frame delay|DT NN NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_4:BODY_7:BODY_8|0
frame integrity|NN NN|BODY_12:BODY_6:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8|0
l|JJ|BODY_2:BODY_3:BODY_7|0
c|NN|BODY_6:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
each|DT|BODY_12:BODY_6:BODY_3:BODY_10:BODY_4:BODY_8|0
stages|NNS|BODY_12:BODY_6:BODY_5:BODY_1:BODY_2:BODY_3|0
this|DT|BODY_1:BODY_2:BODY_3|0
time slots|NN NNS|BODY_6:BODY_5:BODY_15:BODY_3:BODY_7|0
transposition units|NN NNS|BODY_6:BODY_5:BODY_2:BODY_10|0
stage|NN|BODY_5:BODY_2:BODY_3:BODY_4:BODY_8|0
the benes|DT NNS|BODY_11:BODY_2:BODY_4:BODY_9|0
order|NN|BODY_6:BODY_11:BODY_5:BODY_3:BODY_7:BODY_8:BODY_9|0
a frame|DT NN|BODY_5:BODY_2:BODY_24:BODY_3:BODY_4|0
the slot|DT NN|BODY_2:BODY_3:BODY_10:BODY_9|0
the frame|DT NN|BODY_6:BODY_3:BODY_10:BODY_4:BODY_9|0
the control|DT NN|BODY_6:BODY_5:BODY_13:BODY_2:BODY_4|0
the stage|DT NN|BODY_6:BODY_5:BODY_22:BODY_4:BODY_7:BODY_8:BODY_30|0
