there|EX|BODY_41:BODY_16:BODY_18:BODY_21:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8|4
which|WDT|BODY_6:BODY_11:BODY_5:ABSTRACT_6:BODY_17:ABSTRACT_3:BODY_24:BODY_3:BODY_19:BODY_4:BODY_8:BODY_9|4
it|PRP|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|1
we|PRP|BODY_6:BODY_5:BODY_15:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|5
a|DT|BODY_6:BODY_12:BODY_5:BODY_13:BODY_2:BODY_3:BODY_4:BODY_10:BODY_8|0
nodes|NNS|BODY_17:BODY_43:BODY_13:BODY_3:BODY_4:BODY_33:BODY_6:BODY_5:BODY_31:BODY_1:BODY_7:BODY_29:BODY_8:BODY_20|4
sensor networks|NN NNS|BODY_5:BODY_2:BODY_3:BODY_10:BODY_4:BODY_9|2
( i'1i'2â€¦i'n|-LRB- NN|BODY_6:BODY_16:BODY_2:BODY_14:BODY_10:BODY_19:BODY_4:BODY_7:BODY_9|1
pairwise key establishment|JJ JJ NN|TITLE_3:ABSTRACT_2:BODY_2:BODY_3|0
)|-RRB-|BODY_6:BODY_2:BODY_7:BODY_9|0
the distance|DT NN|BODY_12:BODY_13:BODY_2:BODY_3:BODY_10|2
each sensor node|DT NN NN|BODY_6:BODY_2:BODY_3|0
j'1j'2â€¦j|JJ|BODY_6:BODY_12:BODY_16:BODY_18:BODY_10:BODY_7:BODY_8|1
any two nodes|DT CD NNS|BODY_15:BODY_2:BODY_3:BODY_8|1
the sensor network|DT NN NN|BODY_12:BODY_11:BODY_3:BODY_10:BODY_4:BODY_9|1
1 â‰|CD NN|BODY_6:BODY_11:BODY_18:BODY_2|0
direct pairwise key|JJ NN JJ|BODY_36:BODY_15:BODY_27:BODY_38:BODY_30:BODY_20:BODY_9|2
b|NN|BODY_6:BODY_5:BODY_4:BODY_7|0
those schemes|DT NNS|BODY_2|0
a and b|DT CC NN|BODY_32:BODY_27:BODY_15:BODY_21:BODY_14:BODY_3:BODY_4:BODY_19|3
