sql statements|JJ NNS|BODY_6:BODY_5:BODY_17:ABSTRACT_2:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|1
this|DT|BODY_5:BODY_2:BODY_1:ABSTRACT_1|0
a production db2 system|DT NN NN NN|ABSTRACT_2:BODY_3|0
the structure and complexity|DT NN CC NN|BODY_6:BODY_5:BODY_2:ABSTRACT_1|0
the workload|DT NN|BODY_6:BODY_5:BODY_1:ABSTRACT_3:BODY_3:BODY_4|0
a benchmark workload|DT JJ NN|ABSTRACT_3:BODY_3|2
the important information|DT JJ NN|ABSTRACT_2:BODY_2|2
an image copy|DT NN NN|BODY_6:ABSTRACT_6:BODY_4|0
database systems|NN NNS|BODY_5:ABSTRACT_5:BODY_8|3
a db2 environment|DT NN NN|ABSTRACT_4:BODY_4|0
the database catalog|DT NN NN|BODY_3:ABSTRACT_7:BODY_7|0
relations and views|NNS CC NNS|BODY_11:BODY_10:ABSTRACT_7|0
relational database environments|JJ NN NNS|TITLE_2|0
the composition|DT NN|BODY_6:ABSTRACT_6:BODY_10:BODY_9|0
the alternative design tradeoffs|DT NN NN NNS|ABSTRACT_4|1
a structured query language|DT JJ NN NN|ABSTRACT_3|0
a two-hour interval|DT JJ NN|ABSTRACT_5|0
sql ) trace|NN -RRB- NN|ABSTRACT_4|0
the workload study|DT NN NN|ABSTRACT_2|0
we|PRP|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4|3
which|WDT|BODY_6:BODY_12:BODY_5:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|1
the number|DT NN|BODY_12:BODY_6:BODY_11:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|2
there|EX|BODY_6:BODY_5:BODY_2:BODY_1:BODY_14:BODY_3:BODY_9|1
information|NN|BODY_5:BODY_2:BODY_3:BODY_4|0
the percentage|DT NN|BODY_12:BODY_6:BODY_1:BODY_2:BODY_10:BODY_4:BODY_9|0
the sql statements|DT NN NNS|BODY_2:BODY_3:BODY_4:BODY_9|0
redwar|NN|BODY_11:BODY_2:BODY_3:BODY_4|1
the sql analyzer|DT NN NN|BODY_5:BODY_2:BODY_3:BODY_4|0
a large number|DT JJ NN|BODY_16:BODY_2:BODY_7|1
the trace analyzer|DT NN NN|BODY_6:BODY_2:BODY_1:BODY_4|0
the average|DT NN|BODY_6:BODY_2:BODY_1|0
the average number|DT JJ NN|BODY_6:BODY_1:BODY_2|0
cursor|NN|BODY_5:BODY_4:BODY_7:BODY_9|0
less than 5 sql|JJR IN CD JJ|BODY_12|1
db2|NNS|BODY_1:BODY_2:BODY_3:BODY_4|0
statement|NN|BODY_6:BODY_2:BODY_3:BODY_4:BODY_7|0
's|POS|BODY_5:BODY_11:BODY_13:BODY_2:BODY_4|1
the second operand|DT JJ NN|BODY_6:BODY_5:BODY_4|0
index scan|NN NN|BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8|0
that|WDT|BODY_3:BODY_4:BODY_8|0
table|NN|BODY_6:BODY_1:BODY_3:BODY_9|1
views|NNS|BODY_5:BODY_1:BODY_10:BODY_4|0
more than 90 %|JJR IN CD NN|BODY_2:BODY_8|0
run time|VBN NN|BODY_2:BODY_4|0
24,364 static sql statements|CD JJ JJ NNS|BODY_2|0
the average 32.9 columns|DT JJ CD NNS|BODY_3|0
the corresponding sql statement|DT JJ NN NN|BODY_4|0
rows|NNS|BODY_5:BODY_13:BODY_2:BODY_10:BODY_7|0
statements|NNS|BODY_2:BODY_3:BODY_4|0
the same sql statement|DT JJ JJ NN|BODY_3:BODY_4|0
( 3 ) delete|-LRB- CD -RRB- NN|BODY_5|0
an average column width|DT JJ NN NN|BODY_4|0
the ims transaction workload|DT NNS NN NN|BODY_4|0
the application plans|DT NN NNS|BODY_2:BODY_8|1
( 4 ) insert|-LRB- CD -RRB- NN|BODY_6|0
tuples|NNS|BODY_6:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7|0
the maximum column width|DT NN NN NN|BODY_8|0
one or two indexes|CD CC CD NNS|BODY_3|0
each static sql statement|DT JJ NN NN|BODY_2|0
one or more rows|CD CC JJR NNS|BODY_2:BODY_4|0
the makeup and behavior|DT NN CC NN|BODY_4:BODY_7:BODY_8|0
non-optimal access path selection|JJ NN NN NN|BODY_6|0
a null predicate tests|DT JJ NN NNS|BODY_1|0
not all sql statements|RB DT JJ NNS|BODY_1|0
