deadlock-free adaptive routing|JJ JJ NN|TITLE_2:ABSTRACT_3|0
there|EX|BODY_12:BODY_11:BODY_16:BODY_17:BODY_2:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_10:BODY_19:BODY_7:BODY_8:BODY_9|3
the number|DT NN|BODY_6:BODY_5:BODY_18:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_8|0
the design|DT NN|BODY_6:BODY_5:ABSTRACT_2:BODY_2:BODY_3:BODY_4|1
the channel dependency graph|DT NN NN NN|BODY_6:BODY_5:ABSTRACT_6:BODY_2:BODY_3:BODY_4:BODY_7|1
the theoretical background|DT JJ NN|BODY_2:BODY_3:ABSTRACT_1|1
the routing algorithms|DT NN NNS|BODY_1:BODY_2:ABSTRACT_3:BODY_3|0
the new theory|DT JJ NN|ABSTRACT_4:BODY_2|0
a new theory|DT JJ NN|TITLE_1|0
the second methodology|DT JJ NN|BODY_1:ABSTRACT_1|0
physical channels|JJ NNS|ABSTRACT_4:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|0
cycles|NNS|BODY_6:BODY_5:ABSTRACT_5:BODY_2:BODY_3:BODY_4|1
the conditions|DT NNS|ABSTRACT_2:BODY_3|0
some examples|DT NNS|BODY_1:BODY_3:ABSTRACT_1|0
a high degree offreedom|DT JJ NN NN|ABSTRACT_2|0
an adaptive algorithm isdeadlock-free|DT JJ NN NN|ABSTRACT_3|0
the first supplies algorithms|DT JJ NNS NNS|ABSTRACT_1|0
the performance improvement|DT NN NN|ABSTRACT_2|0
it|PRP|BODY_6:BODY_5:BODY_15:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|5
we|PRP|BODY_2:BODY_25:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|7
messages|NNS|BODY_6:BODY_5:BODY_18:BODY_2:BODY_1:BODY_3:BODY_4:BODY_10:BODY_19|0
the network|DT NN|BODY_12:BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7|0
a message|DT NN|BODY_6:BODY_12:BODY_22:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|0
channels|NNS|BODY_6:BODY_5:BODY_11:BODY_1:BODY_2:BODY_3:BODY_10:BODY_4:BODY_8:BODY_9|0
which|WDT|BODY_12:BODY_6:BODY_5:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
c i|NN NN|BODY_12:BODY_11:BODY_22:BODY_17:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9|0
the set|DT NN|BODY_6:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8|0
the adaptive algorithm|DT JJ NN|BODY_15:BODY_1:BODY_2:BODY_3:BODY_4|3
virtual channels|JJ NNS|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8:BODY_9|1
the above proposed methodology|DT JJ VBN NN|BODY_2|1
three adaptive routing strategies|CD JJ NN NNS|BODY_2|1
deadlock-free adaptive routing algorithms|JJ JJ NN NNS|BODY_6:BODY_5:BODY_11:BODY_4|3
routing and flow control|NN CC NN NN|BODY_2|1
another deadlock-free adaptive algorithm|DT JJ NN NN|BODY_1|1
several adaptive routing algorithms|JJ JJ NN NNS|BODY_2|1
the virtual channel mechanism|DT JJ NN NN|BODY_1|1
the total queue size|DT JJ NN NN|BODY_1:BODY_4|1
the first simulation results|DT JJ NN VBZ|BODY_2|1
a very simple methodology|DT RB JJ NN|BODY_10|1
the routing algorithms scale|DT NN NNS NN|BODY_2|1
section 3 ( case|NN CD -LRB- NN|BODY_4|1
an important performance degradation|DT JJ NN NN|BODY_2|1
the above proposed methodologies|DT JJ JJ NNS|BODY_4|1
the proposed design methodologies|DT VBN NN NNS|BODY_3|1
the above mentioned theorems|DT JJ VBN NNS|BODY_2|1
16-flit and 256-flit messages|JJ CC JJ NNS|BODY_9|1
the flit generation rate|DT NN NN NN|BODY_2:BODY_3:BODY_4|0
the routing function|DT NN NN|BODY_12:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|0
the static algorithm|DT JJ NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_4:BODY_7:BODY_8|3
an interconnection network i|DT NN NN NN|BODY_2:BODY_3:BODY_7|0
the new routing function|DT JJ NN NN|BODY_5:BODY_2:BODY_3|0
the highest useful dimension|DT JJS JJ NN|BODY_5:BODY_2:BODY_4|0
the average message delay|DT JJ NN NN|BODY_11:BODY_5:BODY_1:BODY_2|0
a three dimensional network|DT CD JJ NN|BODY_2|0
1|LS|BODY_5:BODY_13:BODY_2:BODY_14:BODY_3:BODY_4:BODY_8|1
a channel dependency graph|DT NN NN NN|BODY_11:BODY_2|0
new adaptive routing algorithms|JJ JJ NN NNS|BODY_2:BODY_4|0
the message generation rate|DT NN NN NN|BODY_2:BODY_1|0
as flow control units|IN NN NN NNS|BODY_6|0
a single virtual channel|DT JJ JJ NN|BODY_2:BODY_3|0
] and multicomputer nodes|NN CC NN NNS|BODY_5|0
the binary n-cube (e-cube|DT JJ NN NN|BODY_2|0
a static routing function|DT JJ NN NN|BODY_2:BODY_3|0
horizontal and vertical ones|JJ CC JJ NNS|BODY_4|0
the flit reception rate|DT NN NN NN|BODY_2:BODY_4|0
a structured buffer pool|DT JJ NN NN|BODY_2|0
low flit generation rates|JJ NN NN NNS|BODY_1|0
more complex design methodologies|RBR JJ NN NNS|BODY_1|0
more virtual channels yields|JJR JJ NNS NNS|BODY_1|0
static or dynamic priorities|JJ CC JJ NNS|BODY_2|0
the same theoretical background|DT JJ JJ NN|BODY_2|0
a constant channel bandwidth|DT JJ NN NN|BODY_4|0
the adaptive algorithm scales|DT JJ NN NNS|BODY_2:BODY_1|0
90 % (adaptive algorithm|CD NN JJ NN|BODY_6|0
more wirable net-work topologies|JJR JJ NN NNS|BODY_3|0
the new routing algorithm|DT JJ NN NN|BODY_4|0
a selection function channel|DT NN NN NN|BODY_2|0
the fourth virtual channel|DT JJ JJ NN|BODY_2:BODY_3|0
message average traffic figure|NN JJ NN NN|BODY_3|0
only the routing function|RB DT NN NN|BODY_5|0
i and c j|NN CC NN RB|BODY_21|0
r 1 black circles|NN CD JJ NNS|BODY_7|0
static deadlock-free routing algorithms|JJ JJ NN NNS|BODY_2|0
any channel dependency graph|DT NN NN NN|BODY_5|0
extended channel dependency graph|JJ NN NN NN|BODY_6|0
an adaptive routing function|DT JJ NN NN|BODY_3:BODY_4|0
c ) applying methodologies|NN -RRB- VBG NNS|BODY_4|0
different topologies and network|JJ NNS CC NN|BODY_3|0
each routing step increases|DT VBG NN NNS|BODY_3|0
only a partial order|RB DT JJ NN|BODY_4|0
channel contention and message|NN NN CC NN|BODY_5|0
the very different number|DT RB JJ NN|BODY_3|0
a routing function r,|DT NN NN NN|BODY_8|0
the acyclic dependency subgraph|DT JJ NN NN|BODY_4|0
any flit one hop|DT NN CD NN|BODY_20|0
the hyperswitch algorithm [4]|DT NN NN NN|BODY_3|0
a channel subset c|DT NN NN NN|BODY_4|0
less than 4 %|RBR IN CD NN|BODY_2|0
all the output channels|DT DT NN NNS|BODY_5|0
network size figure 4|NN NN NN CD|BODY_6|0
an almost null increment|DT RB JJ NN|BODY_3|0
backtracking and hardware modification|NN CC NN NN|BODY_5|0
the next channel queue|DT JJ NN NN|BODY_4|0
the static algorithm increases|DT JJ NN NNS|BODY_3|0
disconnected routing functions )|VBN JJ NNS -RRB-|BODY_2|0
each channel c i|DT NN NN NN|BODY_1|0
the message routing hardware|DT NN NN NN|BODY_1|0
considerably and message delay|RB CC NN NN|BODY_4|0
more (virtual ) channels|JJR JJ -RRB- NNS|BODY_2|0
defined using c 2|VBN VBG NN CD|BODY_3|0
only a few flits|RB DT JJ NNS|BODY_3|0
a single physical channel|DT JJ JJ NN|BODY_2|0
a nonempty legal configuration|DT JJ JJ NN|BODY_16|0
a more flexible condition|DT RBR JJ NN|BODY_2|0
the static routing algorithm|DT JJ NN NN|BODY_1|0
the routing subfunction r|DT NN NN NN|BODY_2|0
more than 1 %|JJR IN CD NN|BODY_2|0
a routing function r|DT NN NN NN|BODY_8|0
many deadlock-free routing algorithms|JJ JJ NN NNS|BODY_1|0
c h ' c|NN NN '' NN|BODY_7|0
some more general methodologies|DT RBR JJ NNS|BODY_2|0
c \gamma c 1|NN NN NN CD|BODY_3|0
integrated communication support [2]|JJ NN NN NNS|BODY_6|0
a totally mechanical way|DT RB JJ NN|BODY_2|0
the individual routing nodes|DT JJ NN NNS|BODY_15|0
the cyclic dependency subgraph|DT JJ NN NN|BODY_3|0
a connected routing subfunction|DT JJ NN NN|BODY_5|0
decreasing or increasing order|VBG CC VBG NN|BODY_3|0
a routing subfunction r|DT JJ NN NN|BODY_13:BODY_7|0
