the relationships|DT NNS|BODY_6:BODY_5:BODY_16:TITLE_2:ABSTRACT_2:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7|0
we|PRP|BODY_6:BODY_5:ABSTRACT_6:BODY_1:BODY_2:BODY_3:ABSTRACT_1:BODY_4:BODY_8:ABSTRACT_9|4
that|WDT|BODY_12:BODY_11:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9|1
it|PRP|BODY_12:BODY_22:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8:BODY_9|2
a number|DT NN|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:ABSTRACT_7:BODY_7|1
the viewer|DT NN|BODY_6:BODY_2:BODY_1:ABSTRACT_3:BODY_3:BODY_4:BODY_7|0
viewpoint interaction and integration|NN NN CC NN|BODY_4:ABSTRACT_7|0
multiple perspectives|JJ NNS|BODY_5:BODY_2:ABSTRACT_3:BODY_7|0
multiple methods and notations|JJ NNS CC NNS|ABSTRACT_2|0
the resultant specification fragments|DT NN NN NNS|ABSTRACT_3|0
which|WDT|BODY_12:BODY_11:BODY_13:BODY_2:BODY_14:BODY_3:BODY_4:BODY_35:BODY_6:BODY_5:BODY_27:BODY_10:BODY_7:BODY_8:BODY_9|4
viewpoints|NNS|BODY_6:BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|0
example|NN|BODY_6:BODY_11:BODY_2:BODY_1:BODY_3:BODY_9|0
)|-RRB-|BODY_12:BODY_6:BODY_41:BODY_11:BODY_5:BODY_13:BODY_2:BODY_4:BODY_10:BODY_7:BODY_8:BODY_9|1
they|PRP|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|0
fig|NN|BODY_12:BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_7|0
core|NN|BODY_5:BODY_1:BODY_2:BODY_3:BODY_7:BODY_8:BODY_9|0
the viewpoints framework|DT NNS NN|BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|0
them|PRP|BODY_6:BODY_5:BODY_15:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|0
s|VBZ|BODY_6:BODY_5:BODY_1:BODY_2:BODY_14:BODY_10:BODY_19:BODY_4|0
the viewpoint|DT NN|BODY_6:BODY_12:BODY_5:BODY_17:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
a variety|DT NN|BODY_12:BODY_1:BODY_2:BODY_3:BODY_10|1
a tabular collection diagram|DT JJ NN NN|BODY_5:BODY_3:BODY_4:BODY_8:BODY_9|0
inter-viewpoint rules|JJ NNS|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4|0
a viewpoint|DT NN|BODY_5:BODY_1:BODY_2:BODY_14:BODY_3:BODY_4:BODY_7|0
one|CD|BODY_5:BODY_16:BODY_1:BODY_3:BODY_4:BODY_7:BODY_9|0
this|DT|BODY_2:BODY_1:BODY_4:BODY_7|0
there|EX|BODY_12:BODY_6:BODY_5:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8|0
part|NN|BODY_6:BODY_3:BODY_4|1
conflict resolution|NN NN|BODY_6:BODY_2:BODY_1:BODY_4:BODY_8|2
information|NN|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4:BODY_7|0
locally developed and managed|RB JJ CC VBN|BODY_12|1
individual partial specification components|JJ JJ NN NNS|BODY_2|1
the rule|DT NN|BODY_6:BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_7:BODY_8|0
a concurrency control mechanism|DT NN NN NN|BODY_5|1
the method construction stage|DT NN NN NN|BODY_4|1
an agent hierarchy|DT NN NN|BODY_6:BODY_5:BODY_3:BODY_4:BODY_7|0
the method application stage|DT NN NN NN|BODY_7|1
general , inter-viewpoint rules|JJ , JJ NNS|BODY_1|1
the viewpoint interaction model|DT NN NN NN|BODY_1|1
a model|DT NN|BODY_11:BODY_2:BODY_1:BODY_3:BODY_4|0
the integration|DT NN|BODY_6:BODY_11:BODY_15:BODY_4:BODY_10:BODY_8|0
in-viewpoint check actions|JJ NN NNS|BODY_1:BODY_3:BODY_8|0
viewpoint templates|NN NNS|BODY_5:BODY_3:BODY_4|0
the domain|DT NN|BODY_11:BODY_5:BODY_2:BODY_10:BODY_4:BODY_20|0
the value|DT NN|BODY_6:BODY_2:BODY_10:BODY_8|0
two viewpoints|CD NNS|BODY_5:BODY_2:BODY_1:BODY_3:BODY_4|0
the work plan slot|DT NN NN NN|BODY_33:BODY_2:BODY_1:BODY_8|0
some form|DT NN|BODY_6:BODY_3:BODY_7|0
the agent hierarchy|DT NN NN|BODY_6:BODY_5:BODY_1:BODY_3:BODY_10:BODY_8|0
return library specification publication|NN NN NN NN|BODY_2|0
the appropriate viewpoint templates|DT JJ NN NNS|BODY_2|0
sections 3 and 4|NNS CD CC CD|BODY_11|0
integration|NN|BODY_6:BODY_5:BODY_11:BODY_4:BODY_7|0
the requirements or goals|DT NNS CC NNS|BODY_3|0
the two viewpoints|DT CD NNS|BODY_3:BODY_4:BODY_7:BODY_8|0
a specification ( c|DT NN -LRB- NN|BODY_2|0
the constructive design approach|DT JJ NN NN|BODY_2|0
