information systems|NN NNS|BODY_5:TITLE_1:BODY_4:BODY_10:ABSTRACT_7:BODY_8:BODY_9|2
that|WDT|BODY_12:BODY_11:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_7:BODY_10:BODY_7:BODY_8:BODY_9|3
we|PRP|BODY_6:BODY_11:BODY_5:BODY_15:ABSTRACT_2:BODY_1:BODY_2:BODY_3:ABSTRACT_1:BODY_4|15
it|PRP|BODY_6:BODY_11:BODY_5:BODY_2:BODY_1:ABSTRACT_1:BODY_4:BODY_10:BODY_7|1
users|NNS|BODY_5:ABSTRACT_5:BODY_1:BODY_2:BODY_3:BODY_8|2
the wireless medium|DT JJ NN|ABSTRACT_2:BODY_2:BODY_1:BODY_3:BODY_10:BODY_9|0
a mobile host|DT JJ NN|BODY_12:BODY_6:BODY_1:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7|3
which|WDT|BODY_6:BODY_5:BODY_40:BODY_17:BODY_25:BODY_2:BODY_3:BODY_4:BODY_8:BODY_9|1
data|NNS|BODY_6:BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7|0
mobile hosts|JJ NNS|BODY_6:BODY_5:BODY_16:BODY_1:BODY_3:BODY_14:BODY_4:BODY_7:BODY_8|0
operations|NNS|BODY_5:BODY_1:BODY_2:BODY_4:BODY_10:BODY_7|0
operation|NN|BODY_6:BODY_5:BODY_15:BODY_2:BODY_3:BODY_4:BODY_8|1
transactions|NNS|BODY_6:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8|0
information|NN|BODY_6:BODY_12:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4|2
the computation|DT NN|BODY_5:BODY_1:BODY_2:BODY_4:BODY_8:BODY_9|1
account|NN|BODY_6:BODY_14:BODY_3:BODY_7|1
the system|DT NN|BODY_6:BODY_17:BODY_2:BODY_4:BODY_9|2
them|PRP|BODY_5:BODY_11:BODY_2:BODY_3:BODY_4:BODY_7|0
the mobile host|DT JJ NN|BODY_5:BODY_2:BODY_1:BODY_3:BODY_20|0
they|PRP|BODY_12:BODY_1:BODY_2:BODY_3|0
a mobile environment|DT JJ NN|BODY_12:BODY_5:BODY_18:BODY_2:BODY_3:BODY_4:BODY_7|1
the fixed network|DT JJ NN|BODY_6:BODY_12:BODY_11:BODY_5:BODY_21:BODY_4:BODY_8:BODY_9|0
a transaction|DT NN|BODY_5:BODY_2:BODY_4|1
a possible cluster configuration|DT JJ NN NN|BODY_6|1
the mobile hosts|DT JJ NNS|BODY_6:BODY_10:BODY_4:BODY_9|1
total or partial disconnection|JJ CC JJ NN|BODY_9|1
a general object-based architecture|DT JJ JJ NN|BODY_4|1
3.3 two important considerations|CD CD JJ NNS|BODY_1|1
a more flexible model|DT JJR JJ NN|BODY_2|1
part|NN|BODY_6:BODY_1:BODY_3:BODY_4:BODY_7:BODY_9|0
a cluster|DT NN|BODY_2:BODY_7|0
's profile|POS NN|BODY_6:BODY_5:BODY_2:BODY_3:BODY_4|1
the architecture|DT NN|BODY_2:BODY_1:BODY_7:BODY_8|0
ffl|NN|BODY_3:BODY_4:BODY_7:BODY_8|1
a user|DT NN|BODY_2:BODY_3:BODY_10:BODY_4:BODY_7|1
the design|DT NN|BODY_3:BODY_8|1
the user|DT NN|BODY_6:BODY_5:BODY_13:BODY_1:BODY_2|0
our simulated mobile station|PRP$ JJ JJ NN|BODY_2|0
the fact|DT NN|BODY_2:BODY_4:BODY_8|0
the characteristics|DT NNS|BODY_1:BODY_2:BODY_3:BODY_4|0
transaction migration|NN NN|BODY_2:BODY_1:BODY_4:BODY_8|1
the value|DT NN|BODY_1:BODY_3|0
the modes|DT NNS|BODY_1:BODY_2:BODY_3:BODY_7|1
one|CD|BODY_6:BODY_5:BODY_3:BODY_9|0
the 3rd international conference|DT JJ JJ NN|BODY_2|0
the information management system|DT NN NN NN|BODY_5|0
terms|NNS|BODY_6:BODY_5:BODY_3|0
system addresses security issues|NN NNS NN NNS|BODY_2|0
other weak consistency proposals|JJ JJ NN NNS|BODY_7|0
