that|IN|BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8|1
agents|NNS|BODY_5:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_7:BODY_8|1
a multi-server environment|DT JJ NN|TITLE_2:BODY_3|0
we|PRP|BODY_12:ABSTRACT_2:BODY_1:BODY_2:ABSTRACT_1|4
the resource allocation problem|DT NN NN NN|ABSTRACT_5:BODY_2:BODY_3:BODY_4|2
techniques|NNS|ABSTRACT_2:BODY_2:BODY_3:BODY_4|2
this paper|DT NN|BODY_2:BODY_1:BODY_3:ABSTRACT_1|4
a purely emergent effect|DT RB JJ NN|ABSTRACT_3:BODY_7|0
self-organising agent-based resource allocation|JJ JJ NN NN|TITLE_1|0
the resource allocation|DT NN NN|BODY_3:ABSTRACT_1:BODY_7|0
efficient resource allocation|JJ NN NN|BODY_6:ABSTRACT_3|0
which|WDT|ABSTRACT_4:BODY_7|1
the system|DT NN|ABSTRACT_2:BODY_2:BODY_4|0
our solution|PRP$ NN|BODY_1:BODY_2:ABSTRACT_1|0
resources and resource consumers|NNS CC NN NNS|ABSTRACT_4|0
categories and subject descriptors|NNS CC NN NNS|ABSTRACT_1|0
a distributed algorithm|DT VBN NN|ABSTRACT_3|1
distributed multiagent systems|VBN JJ NNS|ABSTRACT_6|1
artificial intelligence]|JJ NN|ABSTRACT_2|0
a distributed environments|DT VBN NNS|ABSTRACT_5|0
account|NN|ABSTRACT_2|0
the self-organisation|DT NN|ABSTRACT_2|0
these techniques|DT NNS|ABSTRACT_1|0
resources|NNS|BODY_6:BODY_5:BODY_15:BODY_1:BODY_3:BODY_7|0
tasks|NNS|BODY_6:BODY_5:BODY_3:BODY_4:BODY_10|0
it|PRP|BODY_5:BODY_1:BODY_4|1
they|PRP|BODY_5:BODY_1:BODY_2:BODY_4|0
all agents|DT NNS|BODY_1:BODY_2:BODY_3|0
account multi-agent system tendencies|NN JJ NN NNS|BODY_4|1
different assumptions and constraints|JJ NNS CC NNS|BODY_3|1
the overall system performance|DT JJ NN NN|BODY_2|0
a central controlling authority|DT JJ VBG NN|BODY_2|1
the resource owner perspective|DT NN NN NN|BODY_1|1
the resource|DT NN|BODY_4:BODY_7:BODY_9|1
resource capacities and information|NN NNS CC NN|BODY_5|0
the resource allocation algorithm|DT NN NN NN|BODY_2|0
the el farol problem|DT NN NN NN|BODY_2|0
a reliable resource allocation|DT JJ NN NN|BODY_3|0
more than two resources|JJR IN CD NNS|BODY_4|0
a resource allocation framework|DT NN NN NN|BODY_2|0
the most studied examples|DT RBS JJ NNS|BODY_3|0
decentralised resource allocation techniques|JJ NN NN NNS|BODY_3|0
not enough system resources|RB RB NN NNS|BODY_14|0
sections 4 and 5|NNS CD CC CD|BODY_1|0
an } and tasks|DT NN CC NNS|BODY_9|0
supply and demand [4|NN CC NN NNS|BODY_4|0
a powerful computing platform|DT JJ NN NN|BODY_5|0
exclusive and shared resources|JJ CC VBN NNS|BODY_12|0
a resource allocation decision|DT NN NN NN|BODY_3|0
the cactus project [1|DT NN NN NNS|BODY_3|0
a mechanism or policy|DT NN CC NN|BODY_2|0
no additional information dissemination|DT JJ NN NN|BODY_2|0
a remote agent server|DT JJ NN NN|BODY_3|0
a = {a1 ,|DT SYM JJ ,|BODY_8|0
