cycle monotonicity|NN NN|BODY_6:BODY_5:TITLE_3:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:ABSTRACT_7:BODY_7|2
truthful mechanism design|JJ NN NN|BODY_6:ABSTRACT_6:TITLE_1:BODY_3:BODY_4:BODY_8|0
we|PRP|BODY_12:BODY_11:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8:BODY_9|9
that|WDT|BODY_13:BODY_2:BODY_3:BODY_14:BODY_4:BODY_6:ABSTRACT_6:BODY_5:ABSTRACT_4:BODY_1:BODY_7:BODY_8:BODY_9|1
it|PRP|BODY_6:BODY_11:BODY_5:ABSTRACT_6:BODY_13:BODY_2:BODY_1:BODY_3:BODY_10:BODY_4:BODY_8|1
this|DT|BODY_11:BODY_16:BODY_18:BODY_13:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_8|1
truthfulness|NN|BODY_6:BODY_11:ABSTRACT_4:BODY_17:BODY_2:BODY_1:ABSTRACT_3:BODY_3:BODY_4:BODY_7:BODY_9|2
a fractional truthful mechanism|DT JJ NN NN|BODY_5:ABSTRACT_3:BODY_4|0
a multidimensional scheduling domain|DT JJ NN NN|ABSTRACT_4:ABSTRACT_2:BODY_4|0
the first truthful mechanisms|DT JJ JJ NNS|ABSTRACT_2:BODY_2|0
any c-approximation algorithm|DT NN NN|BODY_6:ABSTRACT_3:BODY_3|1
a general technique|DT JJ NN|ABSTRACT_2:BODY_2:BODY_4|1
.e|NN|BODY_5:BODY_11:ABSTRACT_5:BODY_26:BODY_2:BODY_14:BODY_3:BODY_10:BODY_7:BODY_8|0
the multidimensional setting|DT JJ NN|BODY_3:ABSTRACT_7|0
algorithmic mechanism design|JJ NN NN|ABSTRACT_6:BODY_1|0
the processing time|DT NN NN|BODY_6:ABSTRACT_4|0
a black-box fashion|DT JJ NN|BODY_6:ABSTRACT_8|0
a multidimensional problem|DT JJ NN|BODY_6:ABSTRACT_6:BODY_8|0
non-trivial performance guarantees|JJ NN NNS|ABSTRACT_3:BODY_3|0
one|CD|BODY_5:ABSTRACT_2:BODY_1:BODY_2:BODY_10:BODY_4|0
truthful mechanisms|JJ NNS|BODY_6:ABSTRACT_2:BODY_3:BODY_4:ABSTRACT_7:BODY_7:BODY_8|0
economics general terms algorithms|NNS JJ NNS NNS|ABSTRACT_6|0
m)-approximation truthful mechanisms [22|NN NN NNS NN|ABSTRACT_6|0
a well-motivated special case|DT JJ JJ NN|ABSTRACT_2|0
the few known results|DT JJ VBN NNS|ABSTRACT_3|0
categories and subject descriptors|NNS CC NN NNS|ABSTRACT_1|0
a 3capproximation truthful-in-expectation mechanism|DT NN NN NN|ABSTRACT_4|0
leverages cycle monotonicity|NNS NN NN|ABSTRACT_6|0
âˆž} ) setting|NN -RRB- NN|ABSTRACT_7|0
the first work|DT JJ NN|ABSTRACT_5|0
problem complexity ]|NN NN NN|ABSTRACT_4|0
such a domain|JJ DT NN|ABSTRACT_5|0
m unrelated machines|NN JJ NNS|ABSTRACT_4|0
a fractional relaxation|DT JJ NN|ABSTRACT_4|0
explicit price definitions|JJ NN NNS|ABSTRACT_2|0
our randomized mechanisms|PRP$ JJ NNS|ABSTRACT_1|0
the strategic players|DT JJ NNS|ABSTRACT_8|0
a truthfulin-expectation mechanism|DT NN NN|ABSTRACT_7|0
which|WDT|BODY_12:BODY_11:BODY_18:BODY_15:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_10:BODY_7:BODY_8:BODY_9:BODY_20|1
i|NN|BODY_22:BODY_16:BODY_17:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_29:BODY_7:BODY_8:BODY_20:BODY_9|0
there|EX|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
a certain algorithmic condition|DT JJ JJ NN|BODY_8|1
the declared pis )|DT VBN NN -RRB-|BODY_5|1
our multidimensional scheduling domains|PRP$ JJ NN NNS|BODY_5|1
jobs 6 , 7|NNS CD , CD|BODY_6:BODY_3|0
a fractional assignment x|DT JJ NN NN|BODY_3:BODY_4|0
no truthful deterministic mechanism|DT JJ JJ NN|BODY_3:BODY_4|0
lavi and swamy [16]|JJ CC JJ NN|BODY_3|0
the related machines setting|DT JJ NNS NN|BODY_2|0
a randomized rounding procedure|DT JJ NN NN|BODY_6:BODY_4|0
a randomized rounding algorithm|DT JJ NN NN|BODY_2:BODY_4|0
at least one scenario|IN JJS CD NN|BODY_3|0
np2,t 2 |t l|RB CD NN NN|BODY_3:BODY_7|0
other mechanism design settings|JJ NN NN NNS|BODY_4|0
l < npl,t l|JJ NN NN JJ|BODY_1|0
our construction and proof|PRP$ NN CC NN|BODY_1|0
the same processing-time vector|DT JJ NN NN|BODY_2|0
tâˆ — > tl|JJ NN NN NN|BODY_2|0
our mechanism design problem|PRP$ NN NN NN|BODY_3|0
lemmas 4.1 and 4.2|NNS CD CC CD|BODY_2|0
a tuple ( f|DT NN -LRB- NN|BODY_2|0
the total load (|DT JJ NN -LRB-|BODY_17|0
the total utility calculation|DT JJ NN NN|BODY_11|0
therefore its approximation ratio|RB PRP$ NN NN|BODY_4|0
a ( 1 +|DT -LRB- CD NN|BODY_9|0
its own processing time|PRP$ JJ NN NN|BODY_4:BODY_8|0
a and set pa|DT CC VBN VB|BODY_5|0
a 3-approximation deterministic mechanism|DT NN NN NN|BODY_8|0
an m-approximation positive result|DT NN JJ NN|BODY_2|0
a and the weight|DT CC DT NN|BODY_9|0
the total cost )|DT JJ NN -RRB-|BODY_6|0
vk i âˆˆ vi|JJ NN IN FW|BODY_9|0
( i , j1|-LRB- FW , CD|BODY_2|0
) having capacity 1|-RRB- VBG NN CD|BODY_5|0
a standard basic result|DT NN JJ NN|BODY_13|0
most opt( p )|JJS JJ NN -RRB-|BODY_11:BODY_10:BODY_8|0
m â· l +|NN RB JJ NN|BODY_2|0
= k + 1|SYM NN NNP CD|BODY_12|0
an arbitrary approximation algorithm|DT JJ NN NN|BODY_2:BODY_3|0
an augmenting path p|DT JJ NN NN|BODY_2:BODY_8|0
l)np2,t l i +|JJ JJ NN VBP|BODY_34|0
an integral max-flow (|DT JJ NN -LRB-|BODY_2|0
the total welfare (|DT JJ NN -LRB-|BODY_5|0
the job-dependent two values|DT JJ CD NNS|BODY_4|0
a rather simple fashion|DT RB JJ NN|BODY_5|0
¤ î´a ,b âˆ€a|JJ NN NN NN|BODY_8|0
the classic restricted machines|DT JJ VBN NNS|BODY_2|0
a satisfies the conditions|DT $ DT NNS|BODY_2|0
’ np1,t âˆ—( p1|DT NN NN NN|BODY_11|0
at most câ·opt( p|IN JJS JJ NN|BODY_5|0
the optimal makespan (|DT JJ NN -LRB-|BODY_2|0
a randomized truthful mechanism|DT JJ NN NN|BODY_2|0
equation ( 10 )|NN -LRB- CD -RRB-|BODY_2|0
