position auctions|NN NNS|BODY_6:BODY_5:ABSTRACT_6:TITLE_2:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_7:ABSTRACT_9|2
mediators|NNS|BODY_11:BODY_5:ABSTRACT_4:BODY_13:TITLE_1:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_4|2
we|PRP|BODY_13:ABSTRACT_2:ABSTRACT_3:BODY_2:BODY_3:BODY_14:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_1:BODY_7:BODY_9|17
which|WDT|BODY_12:BODY_11:BODY_16:BODY_17:BODY_13:ABSTRACT_2:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_5:BODY_19:BODY_7:BODY_9|2
the mediator|DT NN|BODY_12:BODY_11:ABSTRACT_18:BODY_21:BODY_13:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9:BODY_20|0
it|PRP|BODY_12:BODY_11:BODY_17:BODY_2:BODY_14:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_7:BODY_10:BODY_19:BODY_7:BODY_8|5
that|WDT|BODY_6:BODY_5:ABSTRACT_4:BODY_17:BODY_1:BODY_2:BODY_14:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|1
an ex post equilibrium|DT NN NN NN|BODY_11:BODY_5:ABSTRACT_4:BODY_18:BODY_2:BODY_10:BODY_4:BODY_7|1
the tie breaking rule|DT NN NN NN|BODY_5:ABSTRACT_6:BODY_3:BODY_4|1
the self-price position auction|DT JJ NN NN|ABSTRACT_2:BODY_2:BODY_4|2
who|WP|BODY_12:BODY_5:ABSTRACT_16:BODY_18:BODY_2:BODY_3:BODY_14:BODY_10:BODY_4:BODY_8:ABSTRACT_12:BODY_9|0
behalf|NN|BODY_6:BODY_12:BODY_11:ABSTRACT_4:BODY_15:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8|0
a mediator|DT NN|BODY_11:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_8|0
all k-price position auctions|DT JJ NN NNS|ABSTRACT_7:BODY_7|0
the mediator services|DT NN NNS|BODY_5:ABSTRACT_2:BODY_2:BODY_8|0
such desired mediators|JJ VBN NNS|ABSTRACT_3:BODY_3|0
a richer class|DT JJR NN|BODY_5:ABSTRACT_5|0
[social and behavioral sciences|JJ CC JJ NNS|ABSTRACT_2|0
some nice theoretical properties|DT JJ JJ NNS|ABSTRACT_4|0
categories and subject descriptors|NNS CC NN NNS|ABSTRACT_1|0
the following rationality condition|DT VBG NN NN|ABSTRACT_6|0
current position auctions|JJ NN NNS|ABSTRACT_5:ABSTRACT_2|0
g|NN|BODY_12:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7|1
the vcg outcome function|DT JJ NN NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4|4
there|EX|BODY_5:BODY_11:BODY_22:BODY_2:BODY_1:BODY_3:BODY_19:BODY_7|1
i|PRP|BODY_11:BODY_5:BODY_16:BODY_17:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|0
a position auction|DT NN NN|BODY_5:BODY_1:BODY_2:BODY_3:BODY_4|1
the players|DT NNS|BODY_6:BODY_16:BODY_13:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7:BODY_9|0
every player|DT NN|BODY_12:BODY_6:BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_4|1
k|NN|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_7:BODY_8|0
1|CD|BODY_6:BODY_5:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|0
)|-RRB-|BODY_5:BODY_40:BODY_13:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8|0
a v cg cover|DT NN NN NN|BODY_5:BODY_2:BODY_3:BODY_4|1
