name,word-precision,word-recall, word-fval,phrase-precision,phrase-recall, phrase-fval
C-1.txt,0.52,0.4,0.45,0.26,0.26,0.26
C-14.txt,0.41,0.39,0.4,0.25,0.31,0.28
C-17.txt,0.46,0.43,0.44,0.28,0.33,0.3
C-18.txt,0.38,0.36,0.37,0.22,0.29,0.25
C-19.txt,0.36,0.53,0.43,0.21,0.31,0.25
C-20.txt,0.36,0.56,0.43,0.1,0.15,0.12
C-22.txt,0.37,0.56,0.44,0.1,0.14,0.12
C-23.txt,0.29,0.4,0.33,0.1,0.13,0.11
C-27.txt,0.47,0.53,0.5,0.18,0.21,0.19
C-28.txt,0.24,0.29,0.26,0.15,0.21,0.18
C-29.txt,0.28,0.33,0.3,0.24,0.31,0.27
C-3.txt,0.25,0.28,0.26,0.06,0.07,0.06
C-30.txt,0.31,0.21,0.25,0.21,0.19,0.2
C-31.txt,0.24,0.24,0.24,0.07,0.07,0.07
C-32.txt,0.28,0.31,0.29,0.05,0.07,0.06
C-33.txt,0.33,0.53,0.41,0.22,0.4,0.29
C-34.txt,0.29,0.45,0.35,0.1,0.17,0.13
C-36.txt,0.39,0.33,0.36,0.0,0.0,0.0
C-38.txt,0.38,0.48,0.43,0.11,0.17,0.13
C-4.txt,0.25,0.21,0.23,0.06,0.05,0.05
C-40.txt,0.24,0.38,0.29,0.1,0.14,0.12
C-6.txt,0.38,0.35,0.36,0.0,0.0,0.0
C-8.txt,0.23,0.25,0.24,0.1,0.1,0.1
C-86.txt,0.29,0.5,0.37,0.0,0.0,0.0
C-9.txt,0.24,0.53,0.33,0.16,0.21,0.18
H-10.txt,0.18,0.38,0.24,0.0,0.0,0.0
H-11.txt,0.48,0.42,0.44,0.24,0.33,0.28
H-12.txt,0.36,0.33,0.35,0.11,0.15,0.13
H-13.txt,0.42,0.5,0.45,0.28,0.38,0.32
H-14.txt,0.39,0.33,0.36,0.06,0.08,0.07
H-16.txt,0.56,0.54,0.55,0.25,0.31,0.28
H-17.txt,0.25,0.04,0.06,0.0,0.0,0.0
H-18.txt,0.5,0.52,0.51,0.16,0.17,0.16
H-19.txt,0.14,0.26,0.19,0.05,0.07,0.06
H-2.txt,0.61,0.55,0.58,0.35,0.28,0.31
H-20.txt,0.35,0.2,0.26,0.14,0.12,0.13
H-21.txt,0.5,0.22,0.3,0.25,0.14,0.18
H-24.txt,0.62,0.5,0.55,0.33,0.29,0.31
H-25.txt,0.31,0.24,0.27,0.07,0.08,0.08
H-26.txt,0.22,0.38,0.28,0.05,0.07,0.06
H-29.txt,0.25,0.42,0.31,0.1,0.15,0.12
H-3.txt,0.32,0.23,0.27,0.13,0.11,0.11
H-30.txt,0.38,0.23,0.29,0.07,0.06,0.06
H-31.txt,0.56,0.19,0.28,0.0,0.0,0.0
H-32.txt,0.24,0.33,0.28,0.06,0.06,0.06
H-4.txt,0.38,0.29,0.32,0.07,0.08,0.07
H-5.txt,0.33,0.33,0.33,0.05,0.07,0.06
H-7.txt,0.39,0.45,0.42,0.11,0.14,0.13
H-8.txt,0.5,0.13,0.2,0.2,0.09,0.13
H-9.txt,0.56,0.24,0.33,0.13,0.08,0.1
I-1.txt,0.29,0.5,0.37,0.11,0.17,0.13
I-10.txt,0.15,0.33,0.21,0.06,0.11,0.08
I-11.txt,0.32,0.32,0.32,0.17,0.16,0.16
I-12.txt,0.18,0.15,0.16,0.06,0.09,0.07
I-14.txt,0.35,0.53,0.42,0.22,0.33,0.27
I-15.txt,0.44,0.23,0.3,0.0,0.0,0.0
I-16.txt,0.29,0.29,0.29,0.18,0.21,0.19
I-18.txt,0.39,0.43,0.41,0.11,0.14,0.13
I-19.txt,0.37,0.43,0.4,0.18,0.25,0.21
I-20.txt,0.44,0.48,0.46,0.17,0.23,0.19
I-21.txt,0.28,0.33,0.3,0.06,0.07,0.06
I-22.txt,0.45,0.38,0.42,0.06,0.06,0.06
I-26.txt,0.25,0.21,0.23,0.07,0.05,0.06
I-29.txt,0.26,0.18,0.21,0.13,0.11,0.12
I-30.txt,0.35,0.33,0.34,0.25,0.29,0.27
I-31.txt,0.26,0.36,0.3,0.15,0.2,0.17
I-32.txt,0.19,0.17,0.18,0.06,0.06,0.06
I-33.txt,0.19,0.28,0.22,0.16,0.2,0.18
I-34.txt,0.35,0.73,0.48,0.06,0.1,0.07
I-35.txt,0.22,0.33,0.27,0.05,0.06,0.05
I-4.txt,0.26,0.21,0.23,0.15,0.14,0.15
I-5.txt,0.22,0.32,0.26,0.16,0.25,0.19
I-6.txt,0.21,0.39,0.27,0.1,0.22,0.14
I-7.txt,0.29,0.15,0.2,0.14,0.13,0.13
I-9.txt,0.22,0.23,0.23,0.0,0.0,0.0
J-1.txt,0.24,0.33,0.28,0.0,0.0,0.0
J-10.txt,0.21,0.1,0.14,0.07,0.08,0.08
J-11.txt,0.28,0.28,0.28,0.0,0.0,0.0
J-13.txt,0.42,0.39,0.41,0.22,0.33,0.27
J-14.txt,0.24,0.33,0.28,0.17,0.23,0.19
J-15.txt,0.18,0.47,0.26,0.1,0.25,0.14
J-17.txt,0.27,0.6,0.37,0.11,0.18,0.13
J-18.txt,0.32,0.56,0.41,0.12,0.15,0.13
J-2.txt,0.26,0.41,0.32,0.06,0.08,0.07
J-20.txt,0.21,0.29,0.24,0.0,0.0,0.0
J-21.txt,0.35,0.52,0.42,0.21,0.31,0.25
J-22.txt,0.26,0.35,0.3,0.05,0.07,0.06
J-23.txt,0.33,0.16,0.21,0.13,0.08,0.1
J-25.txt,0.24,0.2,0.22,0.11,0.11,0.11
J-26.txt,0.19,0.22,0.2,0.0,0.0,0.0
J-27.txt,0.19,0.26,0.22,0.11,0.15,0.13
J-28.txt,0.22,0.08,0.11,0.0,0.0,0.0
J-3.txt,0.22,0.36,0.27,0.0,0.0,0.0
J-30.txt,0.21,0.33,0.25,0.16,0.25,0.19
J-31.txt,0.42,0.53,0.47,0.38,0.4,0.39
J-32.txt,0.41,0.35,0.38,0.29,0.36,0.32
J-4.txt,0.2,0.24,0.22,0.17,0.23,0.19
J-7.txt,0.17,0.25,0.2,0.0,0.0,0.0
J-8.txt,0.48,0.39,0.43,0.07,0.05,0.06
J-9.txt,0.47,0.41,0.44,0.35,0.25,0.29
Average,0.32,0.35,0.32,0.12,0.15,0.13
